Name	ID	Category	Year	Rank	Published	Ratings	Owned	Sessions	Total	Digital	Incomplete	Missing	Meaningful	Solo	2P	3P	4P	5P	6P	7P	8P	9+P
Luxor	245643	Family	2018	873	2-4	2824	4140	10912	10283.000	0.100	0.117	0.430	5861.000	0.000	0.341	0.299	0.359	0.000	0.000	0.000	0.000	0.000
Alhambra	6249	Family	2003	471	2-6	28467	34729	73742	80843.000	0.026	0.210	0.770	18616.000	0.000	0.230	0.322	0.249	0.125	0.074	0.000	0.000	0.000
Fleet	121297	Strategy	2012	936	2-4	4524	6397	13039	14094.000	0.018	0.346	0.747	3565.000	0.000	0.452	0.316	0.232	0.000	0.000	0.000	0.000	0.000
Piraten kapern	117663	Family	2012	3331	2-5	1182	1974	7768	8821.000	0.060	0.091	0.561	3871.000	0.000	0.513	0.255	0.158	0.074	0.000	0.000	0.000	0.000
Carcassonne: Hunters and Gatherers	4390	Family	2002	490	2-5	11026	14097	28322	30021.000	0.091	0.123	0.855	4349.000	0.000	0.557	0.236	0.149	0.058	0.000	0.000	0.000	0.000
Turn the Tide	1403	Family	1997	1179	3-5	3969	5483	8988	9559.000	0.045	0.500	0.796	1954.000	0.000	0.000	0.335	0.384	0.281	0.000	0.000	0.000	0.000
Welcome to New Las Vegas	281075	Family	2020	2265	1-50	791	1835	3010	2564.000	0.176	0.117	0.259	1900.000	0.091	0.581	0.139	0.126	0.037	0.017	0.007	0.000	0.003
Concept	147151	Party	2013	755	4-12	15247	23763	31945	36785.000	0.009	0.385	0.762	8768.000	0.000	0.000	0.000	0.364	0.227	0.202	0.096	0.064	0.048
Cribbage	2398	Abstract	1630	614	2-4	8236	12378	48370	68278.000	0.019	0.114	0.721	19049.000	0.000	0.830	0.090	0.081	0.000	0.000	0.000	0.000	0.000
Via Magica	300936	Family	2020	3725	2-6	414	533	1854	1468.000	0.266	0.068	0.514	713.000	0.000	0.433	0.269	0.201	0.069	0.028	0.000	0.000	0.000
Yōkai	269146	Abstract	2019	4223	2-4	320	544	1885	2032.000	0.073	0.098	0.299	1424.000	0.000	0.481	0.287	0.232	0.000	0.000	0.000	0.000	0.000
Letter Tycoon	169147	Family	2015	2141	2-5	1112	1812	3504	3296.000	0.167	0.182	0.603	1310.000	0.000	0.353	0.259	0.266	0.122	0.000	0.000	0.000	0.000
Martian Dice	99875	Family	2011	2469	2-99	3127	5014	14851	17456.000	0.035	0.308	0.751	4349.000	0.000	0.466	0.255	0.168	0.068	0.028	0.009	0.002	0.004
Welcome To...	233867	Family	2018	124	1-100	16795	26720	97279	102576.000	0.034	0.054	0.330	68714.000	0.132	0.377	0.165	0.160	0.077	0.049	0.020	0.010	0.009
Just Desserts	18946	Family	2015	5484	2-5	750	1657	3373	3725.000	0.047	0.080	0.554	1663.000	0.000	0.515	0.247	0.170	0.068	0.000	0.000	0.000	0.000
Dingo's Dreams	182116	Family	2016	4023	2-4	701	1233	2089	2496.000	0.036	0.080	0.587	1032.000	0.000	0.455	0.286	0.259	0.000	0.000	0.000	0.000	0.000
Mijnlieff	72667	Abstract	2010	3456	2-2	427	446	1792	2915.000	0.022	0.000	0.744	745.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
Dinosaur Tea Party	247160	Family	2018	3038	3-5	721	1542	2720	2897.000	0.031	0.069	0.434	1640.000	0.000	0.000	0.409	0.376	0.216	0.000	0.000	0.000	0.000
Draftosaurus	264055	Family	2019	699	2-5	4232	7370	25627	28935.000	0.013	0.028	0.334	19280.000	0.000	0.260	0.304	0.284	0.152	0.000	0.000	0.000	0.000
Dungeon Petz	97207	Thematic	2011	207	2-4	12596	16569	20835	21226.000	0.034	1.086	0.698	6409.000	0.000	0.443	0.254	0.303	0.000	0.000	0.000	0.000	0.000
No Thanks!	12942	Family	2004	448	3-7	20171	27443	106024	153649.000	0.003	0.021	0.705	45269.000	0.000	0.000	0.271	0.383	0.251	0.068	0.028	0.000	0.000
Paris Connection	75358	Strategy	2010	1513	3-6	2389	3232	7108	8158.000	0.008	0.049	0.708	2386.000	0.000	0.000	0.278	0.316	0.244	0.162	0.000	0.000	0.000
Steam Works	143176	Strategy	2015	2188	2-5	939	2301	1887	1899.000	0.007	1.145	0.584	790.000	0.000	0.344	0.300	0.259	0.096	0.000	0.000	0.000	0.000
