Name	ID	Category	Year	Rank	Published	Ratings	Owned	Sessions	Total	Digital	Incomplete	Missing	Meaningful	Solo	2P	3P	4P	5P	6P	7P	8P	9+P
Coloretto	5782	Family	2003	540	2-5	17895	22973	83544	106517.000	0.049	0.088	0.750	26682.000	0.000	0.222	0.341	0.289	0.147	0.000	0.000	0.000	0.000
Haggis	37628	Strategy	2010	923	2-3	3902	5827	13118	13758.000	0.081	1.419	0.822	2447.000	0.000	0.713	0.287	0.000	0.000	0.000	0.000	0.000	0.000
K2	73761	Family	2010	564	1-5	9016	9673	19753	20514.000	0.060	0.306	0.720	5742.000	0.199	0.278	0.226	0.186	0.111	0.000	0.000	0.000	0.000
Pylos	1419	Abstract	1993	2987	2-2	1632	2499	3962	6031.000	0.033	0.132	0.743	1551.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
Checkers	2083	Abstract	1150	20169	2-2	7126	8643	7660	11626.000	0.019	0.257	0.778	2583.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
Madeira	95527	Strategy	2013	371	2-4	3892	5114	8802	8121.000	0.082	1.885	0.628	3019.000	0.000	0.371	0.294	0.335	0.000	0.000	0.000	0.000	0.000
Lewis & Clark: The Expedition	140620	Strategy	2013	201	1-5	12811	15257	29129	29398.000	0.043	0.733	0.655	10156.000	0.189	0.370	0.228	0.155	0.058	0.000	0.000	0.000	0.000
Battleship	2425	Children's	1931	20179	2-2	8468	13018	7018	9678.000	0.025	0.545	0.783	2101.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
Caylus	18602	Strategy	2005	75	2-5	26696	26643	51051	56796.000	0.031	0.501	0.842	9002.000	0.000	0.286	0.332	0.255	0.127	0.000	0.000	0.000	0.000
Spyrium	137269	Strategy	2013	659	2-5	5749	7034	11877	11893.000	0.050	0.485	0.763	2818.000	0.000	0.338	0.270	0.231	0.161	0.000	0.000	0.000	0.000
Kalah	2448	Abstract	700	3724	2-2	5885	10967	11410	17591.000	0.039	0.068	0.720	4928.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
Quantum	143519	Abstract	2013	481	2-4	6497	7592	14831	15138.000	0.084	0.244	0.686	4747.000	0.000	0.359	0.313	0.327	0.000	0.000	0.000	0.000	0.000
Go	188	Abstract	-2200	170	2-2	14768	20301	33090	49129.000	0.023	0.177	0.855	7132.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
Diamant	15512	Family	2005	717	3-8	16953	20919	79392	97883.000	0.050	0.057	0.763	23217.000	0.000	0.000	0.204	0.292	0.206	0.164	0.086	0.048	0.000
Khronos	25674	Strategy	2006	2692	2-5	1765	2515	1983	2123.000	0.017	0.375	0.876	263.000	0.000	0.251	0.312	0.285	0.152	0.000	0.000	0.000	0.000
Lines of Action	3406	Abstract	1969	3202	2-2	443	389	2005	2357.000	0.091	0.042	0.803	464.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
Not Alone	194879	Strategy	2016	680	2-7	7861	12138	19345	21568.000	0.034	0.176	0.557	9564.000	0.000	0.121	0.162	0.247	0.227	0.156	0.086	0.000	0.000
Through the Ages: A New Story of Civilization	182028	Strategy	2015	6	2-4	22725	26615	68617	55296.000	0.255	1.372	0.651	19293.000	0.000	0.497	0.319	0.184	0.000	0.000	0.000	0.000	0.000
The Werewolves of Miller's Hollow	25821	Party	2001	1006	8-18	9827	16230	14783	28911.000	0.014	0.041	0.900	2885.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.224	0.776
Kingdomino	204583	Family	2016	215	2-4	31591	52517	187978	204623.000	0.060	0.035	0.448	112871.000	0.000	0.419	0.289	0.292	0.000	0.000	0.000	0.000	0.000
Clans of Caledonia	216132	Strategy	2017	43	1-4	14579	17402	41850	39762.000	0.088	0.276	0.408	23548.000	0.171	0.348	0.233	0.248	0.000	0.000	0.000	0.000	0.000
Red7	161417	Family	2014	658	2-4	12534	18244	64086	84233.000	0.025	0.286	0.629	31283.000	0.000	0.376	0.320	0.304	0.000	0.000	0.000	0.000	0.000
Sushi Go!	133473	Family	2013	444	2-5	34315	58286	124116	145541.000	0.050	0.104	0.622	54977.000	0.000	0.177	0.305	0.335	0.184	0.000	0.000	0.000	0.000
La Granja	146886	Strategy	2014	165	1-4	8638	11033	25034	23701.000	0.078	0.378	0.559	10454.000	0.157	0.412	0.212	0.219	0.000	0.000	0.000	0.000	0.000
Siam	20782	Abstract	2005	3290	2-2	605	832	1721	2220.000	0.150	0.000	0.717	629.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
Dragon Castle	232219	Abstract	2017	570	2-4	5512	8317	18583	18882.000	0.056	0.074	0.448	10424.000	0.000	0.484	0.255	0.260	0.000	0.000	0.000	0.000	0.000
The King's Guild	206327	Strategy	2018	1897	1-6	957	1010	2902	2146.000	0.291	0.047	0.496	1081.000	0.117	0.290	0.237	0.209	0.089	0.057	0.000	0.000	0.000
Skat	6819	Strategy	1810	1853	3-3	986	1401	2246	3616.000	0.011	1.498	0.797	735.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000
